timestamp,gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.103058,-0.148540,-0.033208,-0.182818,-0.261276,-0.039064,-0.231480,-0.379658,-0.048942,-0.265116,-0.506808,-0.067873,-0.139044,-0.472029,-0.030395,-0.153205,-0.655200,-0.040441,-0.190204,-0.773716,-0.056581,-0.213912,-0.916483,-0.067342,-0.033030,-0.511465,-0.002619,-0.031809,-0.715357,-0.026735,-0.065075,-0.852594,-0.029675,-0.068710,-0.995704,-0.062071,0.069744,-0.482641,-0.001699,0.063270,-0.667075,-0.021582,0.078620,-0.794221,-0.037094,0.089729,-0.932941,-0.052946,0.170816,-0.441641,0.007620,0.185305,-0.583685,-0.008404,0.210103,-0.702140,-0.014604,0.193253,-0.811642,-0.037593
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.038518,-0.155237,-0.006558,-0.017504,-0.327948,0.007737,-0.123611,-0.464172,0.000283,-0.161786,-0.621211,0.001234,0.141266,-0.503491,0.000801,0.199897,-0.658487,0.007655,0.245962,-0.768509,0.007605,0.301228,-0.879482,0.002934,0.204886,-0.506362,-0.009878,0.270697,-0.682043,-0.004313,0.339931,-0.806663,0.000679,0.395402,-0.918457,0.009675,0.248218,-0.453963,-0.003932,0.312493,-0.592713,-0.010200,0.370666,-0.713451,-0.001063,0.395137,-0.809651,-0.000541,0.290242,-0.363972,0.016644,0.340574,-0.491929,0.005174,0.374356,-0.561832,0.010462,0.412942,-0.649659,-0.005857
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.115719,-0.137231,-0.030312,-0.191008,-0.242566,-0.021907,-0.219061,-0.376521,-0.063308,-0.309855,-0.500505,-0.078448,-0.158686,-0.476121,-0.023049,-0.184312,-0.650583,-0.039803,-0.236050,-0.793427,-0.059130,-0.257070,-0.895900,-0.070617,-0.052168,-0.521634,-0.015112,-0.092586,-0.719344,-0.004207,-0.107931,-0.854955,-0.045983,-0.110030,-0.992327,-0.056393,0.042166,-0.500986,-0.001570,0.032537,-0.688608,-0.032491,0.040923,-0.800006,-0.037158,0.037615,-0.944255,-0.044248,0.151504,-0.445371,0.020518,0.170053,-0.581914,-0.003752,0.155911,-0.721584,-0.008172,0.183809,-0.832151,-0.041668
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.075946,-0.146922,-0.006520,-0.062392,-0.298849,-0.004467,-0.183604,-0.460865,-0.005593,-0.256986,-0.607585,-0.012297,0.054669,-0.505804,-0.015920,0.102483,-0.672048,-0.007848,0.141543,-0.786894,0.005610,0.168725,-0.923824,-0.007009,0.131561,-0.524768,-0.013964,0.176495,-0.696377,0.015147,0.230532,-0.841539,-0.007522,0.237532,-0.971376,-0.002649,0.195011,-0.481785,-0.010486,0.209678,-0.640494,-0.013786,0.257425,-0.767536,-0.005961,0.274295,-0.868373,0.012009,0.221949,-0.410650,0.009647,0.288446,-0.527291,-0.008176,0.287561,-0.603694,-0.013175,0.310196,-0.706002,-0.001686
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.105591,-0.137229,-0.010376,-0.181878,-0.253440,-0.027805,-0.240757,-0.379290,-0.053073,-0.289614,-0.506069,-0.046374,-0.141692,-0.473048,-0.020527,-0.204113,-0.640240,-0.028536,-0.229115,-0.793940,-0.039515,-0.263204,-0.916723,-0.067460,-0.059618,-0.520571,-0.000212,-0.090440,-0.718027,-0.012999,-0.100881,-0.885224,-0.032644,-0.126469,-0.990700,-0.050198,0.026528,-0.497190,0.016392,0.020045,-0.674487,-0.016954,0.027799,-0.824334,-0.033447,0.038716,-0.945133,-0.032898,0.157404,-0.448255,0.032972,0.163790,-0.595372,-0.000248,0.159262,-0.723637,-0.006117,0.151072,-0.826436,-0.032264
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.167786,-0.070902,0.008471,-0.256313,-0.188917,0.007019,-0.463821,-0.188700,0.002858,-0.607388,-0.253074,0.021926,-0.328197,-0.433688,0.015085,-0.399983,-0.552837,0.025631,-0.481838,-0.663668,0.017388,-0.533262,-0.763252,0.015599,-0.279404,-0.482072,0.019180,-0.361217,-0.631560,0.014522,-0.441921,-0.762312,0.011452,-0.502913,-0.864090,0.020676,-0.219184,-0.474872,0.024548,-0.298381,-0.621227,0.014264,-0.346899,-0.733810,0.023322,-0.390744,-0.812174,0.017093,-0.108201,-0.464126,-0.003469,-0.177197,-0.575234,0.013505,-0.230963,-0.666237,0.002576,-0.295391,-0.733259,0.016172
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.088871,-0.130889,-0.011368,-0.146792,-0.264743,-0.032152,-0.172473,-0.412427,-0.052399,-0.205040,-0.535184,-0.071010,-0.069197,-0.489573,-0.018256,-0.077116,-0.689361,-0.044976,-0.109006,-0.827787,-0.056591,-0.103360,-0.944934,-0.066038,0.037029,-0.506457,-0.001038,0.045943,-0.718399,-0.024307,0.034769,-0.883351,-0.041544,0.040393,-0.998520,-0.036426,0.116269,-0.478179,-0.009203,0.154646,-0.666386,-0.032657,0.179628,-0.804138,-0.038566,0.183901,-0.938972,-0.047293,0.225002,-0.408009,0.019396,0.276245,-0.563412,-0.012871,0.294628,-0.680472,-0.007899,0.309345,-0.796058,-0.031147
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.045004,-0.158743,-0.008902,0.001800,-0.324771,-0.021532,-0.124785,-0.487614,-0.012398,-0.159050,-0.616354,0.000240,0.137633,-0.502039,-0.011981,0.207300,-0.649342,-0.003692,0.255374,-0.761623,-0.017917,0.304316,-0.867763,-0.006891,0.228346,-0.500264,-0.004002,0.288673,-0.670083,-0.014989,0.352178,-0.807017,-0.003317,0.404426,-0.914505,-0.011005,0.268854,-0.451067,-0.001136,0.316119,-0.606867,-0.024773,0.364462,-0.711807,-0.001462,0.417875,-0.819535,-0.032638,0.286370,-0.349075,-0.005180,0.343817,-0.482241,-0.021301,0.385407,-0.573074,-0.009388,0.431161,-0.656731,-0.003295
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.142573,-0.098866,0.002390,-0.257795,-0.182565,-0.024442,-0.327268,-0.296068,-0.044887,-0.417285,-0.420694,-0.054611,-0.278993,-0.408587,-0.013539,-0.342813,-0.603757,-0.031970,-0.420094,-0.701754,-0.039889,-0.466624,-0.819455,-0.059625,-0.188361,-0.490297,0.013075,-0.247426,-0.666045,-0.004557,-0.295535,-0.791219,-0.026235,-0.352229,-0.934557,-0.050384,-0.095510,-0.487726,0.006699,-0.126216,-0.660178,-0.015398,-0.148820,-0.785460,-0.026829,-0.190213,-0.911659,-0.040379,0.019964,-0.452318,0.025827,0.005930,-0.601849,-0.004650,0.002779,-0.713465,-0.011191,-0.038197,-0.852593,-0.035002
1788792207.248,Palm,0.000000,0.000000,0.000000,-0.168827,-0.054291,0.022129,-0.288011,-0.164637,0.023797,-0.482465,-0.160175,0.005977,-0.616331,-0.201509,0.011258,-0.365222,-0.379107,0.004755,-0.441209,-0.530694,0.004286,-0.512223,-0.622561,0.012897,-0.600291,-0.718183,0.001130,-0.326925,-0.463188,0.012883,-0.432815,-0.600891,0.015006,-0.504560,-0.718570,0.020859,-0.578616,-0.815519,0.011474,-0.253643,-0.457173,0.005105,-0.338921,-0.582622,0.001080,-0.423373,-0.676183,0.029576,-0.480782,-0.786590,0.006875,-0.166072,-0.447135,0.000502,-0.229732,-0.550657,-0.002523,-0.276428,-0.619431,0.010705,-0.347537,-0.707221,0.014224
1788792207.248,Palm,0.000000,0.000000,0.000000,0.029162,-0.161781,0.000475,0.026974,-0.314634,-0.026802,0.078264,-0.441834,-0.035819,0.138430,-0.577340,-0.062132,0.207241,-0.456380,-0.013776,0.296937,-0.624963,-0.025477,0.370441,-0.742030,-0.039303,0.428309,-0.842194,-0.072716,0.314459,-0.414483,0.022590,0.423317,-0.576541,-0.014471,0.508721,-0.693391,-0.019207,0.579263,-0.813630,-0.049599,0.370358,-0.324377,-0.000557,0.483614,-0.475650,-0.015114,0.592676,-0.583983,-0.036138,0.669312,-0.690123,-0.053546,0.409794,-0.234316,0.028540,0.528728,-0.338386,0.002717,0.615710,-0.416226,-0.020529,0.687507,-0.497707,-0.024129
